"game_name","agent_name","iteration","score","duration","natural_end","move_limit","turn_limit","supported","selected_heuristic","selected_agent","ensemble_size","completed_at"
"Starchess","Portfolio(Alpha-Beta)","0","1.0","23.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:14:08.477"
"Starchess","Portfolio(Alpha-Beta)(Alpha-Beta)","1","1.0","25.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:14:29.856"
"Starchess","Portfolio(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)","2","1.0","31.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:14:54.373"
"Starchess","Portfolio(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)","3","1.0","66.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:15:49.01"
"Starchess","Portfolio(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)","4","1.0","51.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:16:33.306"
"Starchess","Portfolio(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)","5","1.0","47.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:17:13.601"
"Starchess","Portfolio(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)","6","1.0","39.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:17:47.171"
"Starchess","Portfolio(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)","7","1.0","11.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:17:52.704"
"Starchess","Portfolio(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)","8","1.0","39.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:18:26.943"
"Starchess","Portfolio(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)","9","1.0","11.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:18:32.351"
"Starchess","Portfolio(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)","10","1.0","27.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:18:56.588"
"Starchess","Portfolio(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)","11","1.0","11.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:19:02.88"
"Starchess","Portfolio(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)","12","1.0","26.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:19:26.079"
"Starchess","Portfolio(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)(Alpha-Beta)","13","1.0","32.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:19:51.292"
"Starchess","Portfolio","0","1.0","11.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:35:38.024"
"Starchess","Portfolio","1","1.0","60.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:36:31.519"
"Starchess","Portfolio","2","1.0","41.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:37:09.2"
"Starchess","Portfolio","3","1.0","34.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:37:39.786"
"Starchess","Portfolio","4","1.0","11.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:37:45.586"
"Starchess","Portfolio","5","1.0","33.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:38:13.429"
"Starchess","Portfolio","6","1.0","28.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:38:37.842"
"Starchess","Portfolio","7","1.0","35.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:39:08.24"
"Starchess","Portfolio","8","1.0","53.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:39:52.104"
"Starchess","Portfolio","9","1.0","11.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:39:57.835"
"Starchess","Portfolio","10","1.0","39.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:40:31.428"
"Starchess","Portfolio","11","1.0","48.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:41:14.014"
"Starchess","Portfolio","12","1.0","11.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:41:21.373"
"Starchess","Portfolio","13","1.0","61.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:42:14.833"
"Starchess","Portfolio","14","1.0","56.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:43:01.56"
"Starchess","Portfolio","15","1.0","24.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:43:19.936"
"Starchess","Portfolio","16","1.0","48.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:44:01.739"
"Starchess","Portfolio","17","1.0","47.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:44:44.071"
"Starchess","Portfolio","18","1.0","43.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:45:22.401"
"Starchess","Portfolio","19","0.0","42.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:46:01.836"
"Starchess","Portfolio","20","1.0","19.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:46:18.2"
"Starchess","Portfolio","21","1.0","59.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:47:06.148"
"Starchess","Portfolio","22","1.0","11.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:47:13.463"
"Starchess","Portfolio","23","1.0","43.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:47:51.057"
"Starchess","Portfolio","24","1.0","37.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:48:20.587"
"Starchess","Portfolio","25","1.0","34.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:48:49.965"
"Starchess","Portfolio","26","1.0","58.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:49:44.34"
"Starchess","Portfolio","27","1.0","11.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:49:52.693"
"Starchess","Portfolio","28","1.0","43.0","true","false","false","true","CentreProximityPos","Alpha-Beta","1","2024-08-12 12:50:31.107"
