"game_name","agent_name","game_index","agent_index","games_played","score","mean","standard_deviation","variance","duration","natural_end","move_limit","turn_limit","supported","selected_heuristic","selected_agent","ensemble_size","completed_at"
"Starchess","Random","0","8","50","3.0","0.06","0.19272482233188637","0.037142857142857165","53.5","1.0","0.0","0.0","true","CentreProximityPos","-","1","2024-08-12 12:56:10.563"
"Starchess","Ensemble -1","0","9","50","49.5","0.99","0.0707106781186547","0.004999999999999992","39.4","1.0","0.0","0.0","true","CentreProximityPos","Alpha-Beta","5","2024-08-12 14:24:02.701"
"DisPath","Random","1","8","50","0.0","0.0","0.0","0.0","37.46","1.0","0.0","0.0","true","ScorePos","-","1","2024-08-12 14:39:18.367"
"DisPath","Ensemble -1","1","9","50","34.5","0.69","0.26515301704672256","0.07030612244897955","40.6","1.0","0.0","0.0","true","ScorePos","MC-GRAVE","5","2024-08-12 16:14:31.547"
"Ludus Anglicorum","Random","2","8","50","1.0","0.02","0.1414213562373095","0.019999999999999997","430.8","1.0","0.0","0.0","true","CornerProximityNeg","-","1","2024-08-12 19:13:55.857"
"Ludus Anglicorum","Ensemble -1","2","9","50","48.0","0.96","0.1979486637221575","0.039183673469387795","327.12","1.0","0.0","0.0","true","CornerProximityNeg","MAST","5","2024-08-13 08:47:56.699"
"Trax","Random","3","8","50","8.0","0.16","0.37032803990902047","0.13714285714285707","12.46","1.0","0.0","0.0","true","MobilityAdvancedPos","-","1","2024-08-13 08:53:34.534"
"Trax","Ensemble -1","3","9","50","44.0","0.88","0.3282607226593161","0.10775510204081644","9.36","1.0","0.0","0.0","true","MobilityAdvancedPos","Alpha-Beta","5","2024-08-13 09:17:13.886"
"Quixo","Random","4","8","50","0.0","0.0","0.0","0.0","36.52","1.0","0.0","0.0","true","LineCompletionHeuristicPos","-","1","2024-08-13 09:32:29.201"
"Quixo","Ensemble -1","4","9","50","30.0","0.6","0.4948716593053936","0.24489795918367355","234.16","1.0","0.0","0.0","true","LineCompletionHeuristicPos","UCT","5","2024-08-14 05:15:54.296"
"Banqi","Random","5","8","50","0.5","0.01","0.07071067811865472","0.004999999999999996","194.06","0.98","0.0","0.02","true","CornerProximityPos","-","1","2024-08-14 06:38:11.337"
"Banqi","Ensemble -1","5","9","50","37.0","0.74","0.443087497693452","0.19632653061224484","220.44","1.0","0.0","0.0","true","CornerProximityPos","MC-GRAVE","4","2024-08-14 14:32:18.542"
"Terhuchu","Random","6","8","50","0.0","0.0","0.0","0.0","431.04","1.0","0.0","0.0","true","MaterialPos","-","1","2024-08-14 17:32:30.771"
"Terhuchu","Ensemble -1","6","9","50","50.0","1.0","0.0","0.0","189.04","1.0","0.0","0.0","true","MaterialPos","Alpha-Beta","5","2024-08-15 01:25:41.095"
"Katro","Random","7","8","50","0.0","0.0","0.0","0.0","93.82","1.0","0.0","0.0","true","MobilityAdvancedPos","-","1","2024-08-15 01:34:13.645"
