"Game Name",Iteration,Alpha-Beta,MAST,MC-GRAVE,"Progressive History",Random,UCT,Portfolio,"UnWeighted Ensemble","Weighted Ensemble","Parallel UnWeighted Ensemble","Parallel Weighted Ensemble"
Amazons,0,0,100,0,0,0,0,0,0,100,100,100
Amazons,1,0,100,0,0,0,0,100,0,0,100,100
Amazons,2,0,100,100,0,0,100,0,0,0,0,100
Amazons,3,0,0,100,100,0,100,0,100,100,100,100
Amazons,4,0,0,100,0,0,0,0,0,100,100,100
Amazons,5,0,100,100,0,0,0,0,100,0,100,100
Amazons,6,100,0,0,100,0,100,100,100,100,0,100
Amazons,7,100,0,100,0,0,0,0,100,0,0,100
Amazons,8,0,0,100,0,0,100,100,100,100,100,100
Amazons,9,0,0,100,0,0,100,100,100,0,100,100
Amazons,10,100,0,100,100,0,0,0,100,100,100,100
Amazons,11,0,0,0,0,0,100,0,100,100,100,0
Amazons,12,0,0,100,100,0,0,100,100,100,100,100
Amazons,13,0,100,100,100,0,0,0,100,0,100,100
Amazons,14,0,0,100,100,0,0,0,0,0,0,100
Amazons,15,0,0,100,100,0,0,100,100,100,100,100
Amazons,16,0,100,100,0,0,0,100,100,0,100,100
Amazons,17,0,0,100,0,0,0,0,0,0,100,100
Amazons,18,100,0,100,0,0,0,0,100,0,100,100
Amazons,19,100,0,100,100,0,100,100,100,100,0,0
Amazons,20,0,0,0,0,0,100,100,100,0,100,100
Amazons,21,100,0,100,100,0,100,0,0,100,100,100
Amazons,22,0,100,0,0,0,100,0,100,0,100,100
Amazons,23,0,0,100,100,0,100,100,0,0,100,100
Amazons,24,0,0,0,100,0,100,100,0,0,100,100
Amazons,25,0,0,100,100,0,100,100,0,100,100,0
Amazons,26,100,100,100,100,0,0,0,100,0,0,100
Amazons,27,0,0,100,0,0,0,100,0,0,100,100
Amazons,28,0,0,100,100,0,0,0,100,100,100,100
Amazons,29,0,0,0,100,0,0,100,100,0,0,100
Amazons,30,100,0,0,100,0,100,100,0,0,100,100
Amazons,31,0,0,0,100,0,0,100,0,0,100,100
Amazons,32,0,0,100,0,0,100,100,0,100,100,0
Amazons,33,0,100,0,100,0,0,100,100,0,100,100
Amazons,34,0,0,100,100,0,0,0,0,0,100,100
Amazons,35,0,0,0,0,0,100,100,100,0,100,100
Amazons,36,0,100,100,100,0,0,100,100,100,100,100
Amazons,37,100,0,0,100,0,100,100,0,0,100,100
Amazons,38,0,0,0,100,0,100,100,100,0,100,100
Amazons,39,0,100,100,100,0,0,100,0,0,0,0
Amazons,40,0,0,0,0,0,0,0,0,0,100,100
Amazons,41,100,0,100,0,0,100,100,0,100,100,100
Amazons,42,100,0,0,100,0,100,0,0,0,100,0
Amazons,43,100,0,100,0,0,100,0,0,100,100,100
Amazons,44,100,100,100,100,0,100,100,0,100,0,100
Amazons,45,0,0,0,0,0,0,0,100,0,100,100
Amazons,46,100,0,100,0,0,100,100,100,0,100,100
Amazons,47,0,100,100,0,0,100,100,0,100,100,100
Amazons,48,0,0,100,100,0,100,100,100,100,100,100
Amazons,49,0,0,100,100,0,0,100,100,100,100,100
Aralzaa,0,50,50,50,50,0,50,50,50,50,50,50
Aralzaa,1,50,50,50,50,0,50,50,50,50,50,50
Aralzaa,2,50,50,50,50,0,50,50,50,50,50,50
Aralzaa,3,50,50,50,50,0,50,50,50,50,50,50
Aralzaa,4,50,50,50,50,0,50,50,50,50,50,50
Aralzaa,5,50,50,50,50,0,50,50,50,50,50,50
Aralzaa,6,50,50,50,50,0,50,50,50,50,50,50
Aralzaa,7,50,50,50,50,0,50,50,50,50,50,50
