,Alpha-Beta,MAST,MC-GRAVE,Progressive History,Random,UCT,Portfolio,UnWeighted Ensemble,Weighted Ensemble,Parallel UnWeighted Ensemble,Parallel Weighted Ensemble
Alpha-Beta,N/A,"T: -0.727
P: 0.467","T: 0.077
P: 0.938","T: -2.657
P: 0.008","T: 36.428
P: 0.000","T: 0.271
P: 0.786","T: -9.450
P: 0.000","T: -3.455
P: 0.001","T: -4.199
P: 0.000","T: -10.950
P: 0.000","T: -15.165
P: 0.000"
MAST,"T: 0.727
P: 0.467",N/A,"T: 0.806
P: 0.420","T: -1.932
P: 0.053","T: 37.647
P: 0.000","T: 1.002
P: 0.316","T: -8.738
P: 0.000","T: -2.737
P: 0.006","T: -3.481
P: 0.001","T: -10.238
P: 0.000","T: -14.453
P: 0.000"
MC-GRAVE,"T: -0.077
P: 0.938","T: -0.806
P: 0.420",N/A,"T: -2.741
P: 0.006","T: 36.442
P: 0.000","T: 0.194
P: 0.846","T: -9.551
P: 0.000","T: -3.540
P: 0.000","T: -4.286
P: 0.000","T: -11.056
P: 0.000","T: -15.288
P: 0.000"
Progressive History,"T: 2.657
P: 0.008","T: 1.932
P: 0.053","T: 2.741
P: 0.006",N/A,"T: 40.776
P: 0.000","T: 2.943
P: 0.003","T: -6.820
P: 0.000","T: -0.824
P: 0.410","T: -1.567
P: 0.117","T: -8.315
P: 0.000","T: -12.510
P: 0.000"
Random,"T: -36.428
P: 0.000","T: -37.647
P: 0.000","T: -36.442
P: 0.000","T: -40.776
P: 0.000",N/A,"T: -36.289
P: 0.000","T: -51.955
P: 0.000","T: -41.490
P: 0.000","T: -42.760
P: 0.000","T: -54.905
P: 0.000","T: -64.247
P: 0.000"
UCT,"T: -0.271
P: 0.786","T: -1.002
P: 0.316","T: -0.194
P: 0.846","T: -2.943
P: 0.003","T: 36.289
P: 0.000",N/A,"T: -9.772
P: 0.000","T: -3.741
P: 0.000","T: -4.489
P: 0.000","T: -11.283
P: 0.000","T: -15.533
P: 0.000"
Portfolio,"T: 9.450
P: 0.000","T: 8.738
P: 0.000","T: 9.551
P: 0.000","T: 6.820
P: 0.000","T: 51.955
P: 0.000","T: 9.772
P: 0.000",N/A,"T: 5.929
P: 0.000","T: 5.197
P: 0.000","T: -1.464
P: 0.143","T: -5.533
P: 0.000"
UnWeighted Ensemble,"T: 3.455
P: 0.001","T: 2.737
P: 0.006","T: 3.540
P: 0.000","T: 0.824
P: 0.410","T: 41.490
P: 0.000","T: 3.741
P: 0.000","T: -5.929
P: 0.000",N/A,"T: -0.735
P: 0.463","T: -7.404
P: 0.000","T: -11.532
P: 0.000"
Weighted Ensemble,"T: 4.199
P: 0.000","T: 3.481
P: 0.001","T: 4.286
P: 0.000","T: 1.567
P: 0.117","T: 42.760
P: 0.000","T: 4.489
P: 0.000","T: -5.197
P: 0.000","T: 0.735
P: 0.463",N/A,"T: -6.672
P: 0.000","T: -10.795
P: 0.000"
Parallel UnWeighted Ensemble,"T: 10.950
P: 0.000","T: 10.238
P: 0.000","T: 11.056
P: 0.000","T: 8.315
P: 0.000","T: 54.905
P: 0.000","T: 11.283
P: 0.000","T: 1.464
P: 0.143","T: 7.404
P: 0.000","T: 6.672
P: 0.000",N/A,"T: -4.064
P: 0.000"
Parallel Weighted Ensemble,"T: 15.165
P: 0.000","T: 14.453
P: 0.000","T: 15.288
P: 0.000","T: 12.510
P: 0.000","T: 64.247
P: 0.000","T: 15.533
P: 0.000","T: 5.533
P: 0.000","T: 11.532
P: 0.000","T: 10.795
P: 0.000","T: 4.064
P: 0.000",N/A
